Case;Country case;Country;Opinion;Freq;Significative
0;A;FR;Strongly agree;0,04;0
0;B;FR;Strongly agree;0,39;0
1;A;FR;Strongly agree;0,04;0
1;B;FR;Strongly agree;0,31;0
2;A;FR;Strongly agree;0,05;0
2;B;FR;Strongly agree;0,35;0
3;A;FR;Strongly agree;0,04;0
3;B;FR;Strongly agree;0,38;0
4;A;FR;Strongly agree;0,14;1
4;B;FR;Strongly agree;0,17;1
5;A;FR;Strongly agree;0,13;1
5;B;FR;Strongly agree;0,35;0
0;A;FR;Rather agree;0,21;0
0;B;FR;Rather agree;0,41;0
1;A;FR;Rather agree;0,26;0
1;B;FR;Rather agree;0,48;0
2;A;FR;Rather agree;0,28;0
2;B;FR;Rather agree;0,42;0
3;A;FR;Rather agree;0,14;0
3;B;FR;Rather agree;0,43;0
4;A;FR;Rather agree;0,46;1
4;B;FR;Rather agree;0,35;0
5;A;FR;Rather agree;0,4;1
5;B;FR;Rather agree;0,43;0
0;A;FR;Rather disagree;0,41;0
0;B;FR;Rather disagree;0,15;0
1;A;FR;Rather disagree;0,43;0
1;B;FR;Rather disagree;0,17;0
2;A;FR;Rather disagree;0,43;0
2;B;FR;Rather disagree;0,17;0
3;A;FR;Rather disagree;0,41;0
3;B;FR;Rather disagree;0,14;0
4;A;FR;Rather disagree;0,31;1
4;B;FR;Rather disagree;0,34;1
5;A;FR;Rather disagree;0,36;1
5;B;FR;Rather disagree;0,16;0
0;A;FR;Strongly disagree;0,34;0
0;B;FR;Strongly disagree;0,05;0
1;A;FR;Strongly disagree;0,27;0
1;B;FR;Strongly disagree;0,04;0
2;A;FR;Strongly disagree;0,24;1
2;B;FR;Strongly disagree;0,06;0
3;A;FR;Strongly disagree;0,41;0
3;B;FR;Strongly disagree;0,05;0
4;A;FR;Strongly disagree;0,09;1
4;B;FR;Strongly disagree;0,13;1
5;A;FR;Strongly disagree;0,11;1
5;B;FR;Strongly disagree;0,06;0
