"id";"submitdate";"lastpage";"startlanguage";"seed";"startdate";"datestamp";"ipaddr";"refurl";"ID";"Messageintro";"TimeB";"Gender";"Age";"Income";"State";"Agglo";"Freqtalk";"CauseCC";"GazCC[SQ001]";"GazCC[SQ002]";"GazCC[SQ003]";"GazCC[SQ004]";"GazCC[SQ006]";"GazCC[SQ005]";"EffectsCC";"RegionCC";"GenerationCC[SQ001]";"GenerationCC[SQ002]";"GenerationCC[SQ003]";"GenerationCC[SQ004]";"GenerationCC[SQ005]";"VisioncoopCC";"Orderpcp";"CBDR";"Gdfr";"Principles[SQ001]";"Principles[SQ002]";"Principles[SQ003]";"Principles[SQ004]";"Principles[SQ005]";"RkPriciple[SQ001]";"RkPriciple[SQ002]";"RkPriciple[SQ003]";"RkPriciple[SQ004]";"RkPriciple[SQ005]";"Statements[SQ001]";"Statements[SQ002]";"Statements[SQ003]";"Statements[SQ004]";"Accountability";"History";"Ordrecas";"Randomnumber";"Test[SQ001]";"Test[SQ002]";"Test[SQ003]";"Test[SQ004]";"Case1[SQ001]";"Case1[SQ002]";"Case2[SQ001]";"Case2[SQ002]";"Case3[SQ001]";"Case3[SQ002]";"Case4[SQ001]";"Case4[SQ002]";"Case5[SQ001]";"Case5[SQ002]";"Case6[SQ001]";"Case6[SQ002]";"Coordination[SQ001]";"Coordination[SQ002]";"Coordination[SQ003]";"Coordination[SQ004]";"Reward[SQ001]";"Reward[SQ002]";"Chances";"Info";"Infono";"Educ";"CSP";"Comments";"TimeE";"Speedster";"Surveytime";"interviewtime";"groupTime12";"IDTime";"MessageintroTime";"TimeBTime";"GenderTime";"AgeTime";"IncomeTime";"StateTime";"AggloTime";"groupTime8";"FreqtalkTime";"CauseCCTime";"GazCCTime";"EffectsCCTime";"RegionCCTime";"GenerationCCTime";"VisioncoopCCTime";"groupTime9";"OrderpcpTime";"CBDRTime";"GdfrTime";"PrinciplesTime";"RkPricipleTime";"StatementsTime";"AccountabilityTime";"HistoryTime";"groupTime10";"OrdrecasTime";"RandomnumberTime";"TestTime";"Case1Time";"Case2Time";"Case3Time";"Case4Time";"Case5Time";"Case6Time";"groupTime13";"CoordinationTime";"RewardTime";"ChancesTime";"InfoTime";"InfonoTime";"groupTime14";"EducTime";"CSPTime";"CommentsTime";"TimeETime";"SpeedsterTime";"SurveytimeTime"
"27";"2020-07-15 20:28:36";"42";"fr";"759593099";"2020-07-15 20:15:08";"2020-07-15 20:28:36";"83.197.43.49";"https://s.cint.com/Survey/Fingerprint/6e0d15f9-ba8d-9529-e7db-222634f10d03";"6e0d15f9-ba8d-9529-e7db-222634f10d03";"";"1594836918";"Une femme";"18-24 ans";"Moins de 20 000 euros";"36";"De 2 000 à 19 999 habitants";"Plusieurs fois par an";"est principalement dû aux activités humaines";"Oui";"Non";"Non";"Non";"Oui";"Oui";"Importants";"Les Etats-Unis";"Non";"Non";"Oui";"Oui";"Non";"Les principes de justice climatique devraient être déterminés au niveau international, même si cela peut empêcher les pays de défendre les intérêts de leurs populations";"3";"Les pays ont des responsabilités communes mais différenciées. Mais s'il fallait choisir l'un ou l'autre, je considèrerais qu'ils ont plutôt des responsabilités différenciées, c'est à dire que certains pays doivent faire nettement plus d'efforts que d'autres pour lutter contre le changement climatique.";"Plutôt pas d'accord";"Plutôt d'accord";"Plutôt d'accord";"Plutôt pas d'accord";"Plutôt d'accord";"Plutôt pas d'accord";"Non";"Oui";"Non";"Oui";"Non";"Plutôt pas d'accord";"Plutôt d'accord";"Plutôt pas d'accord";"Plutôt pas d'accord";"Les pays devraient être tenus responsables des émissions de carbone associées à tous les produits qu’ils consomment, y compris les émissions ayant lieu à l’étranger des produits qu’ils consomment";"Les pays doivent être tenus responsables de leurs émissions passées depuis 1850 (année à partir de laquelle les sociétés ont commencé à émettre de grandes quantités de carbone dans l’atmosphère)";"4";"1";"Faux";"Vrai";"Vrai";"Vrai";"Plutôt pas d'accord";"Plutôt pas d'accord";"Plutôt pas d'accord";"Plutôt d'accord";"Plutôt d'accord";"Plutôt pas d'accord";"Plutôt d'accord";"Plutôt pas d'accord";"Plutôt pas d'accord";"Plutôt d'accord";"Plutôt pas d'accord";"Plutôt d'accord";"Plutôt d'accord";"Plutôt d'accord";"Plutôt pas d'accord";"Plutôt d'accord";"Plutôt d'accord";"Plutôt pas d'accord";"entre 11 et 49%";"Non";"";"Diplôme du supérieur court (niveau bac + 2)";"Employé (bureau, commerces, services, santé...)";"";"1594837716";"N/A";"798";"825.53";"";"";"9.8";"";"5.25";"5.9";"7.06";"11.54";"8.55";"";"10.68";"7.86";"21.5";"17.37";"9.35";"13.7";"48.81";"";"";"22.33";"36.45";"47.44";"137.42";"48.56";"22.62";"33.47";"";"";"";"52.89";"43.65";"13.81";"20.77";"20.98";"21.26";"32.84";"";"22.01";"13.31";"10.68";"14.91";"8.84";"";"10.62";"10.14";"3.16";"";"";""
"30";"2020-07-15 20:25:50";"42";"fr";"774589520";"2020-07-15 20:17:31";"2020-07-15 20:25:50";"176.150.69.255";"https://s.cint.com/Survey/Fingerprint/12702f83-0ac8-de1a-9ba1-185b073b3279";"12702f83-0ac8-de1a-9ba1-185b073b3279";"";"1594837055";"Une femme";"25-34 ans";"De 35 001 à 50 000 euros";"01";"De 20 000 à 99 999 habitants";"Plusieurs fois par mois";"est principalement dû aux activités humaines";"Oui";"Non";"Non";"Non";"Non";"Non";"Importants";"Les Etats-Unis";"Non";"Non";"Non";"Oui";"Non";"Les principes de justice climatique ne devraient jamais passer avant les intérêts nationaux, même si cela peut entraver l’action contre le changement climatique";"4";"Les pays ont des responsabilités communes mais différenciées. Mais s'il fallait choisir l'un ou l'autre, je considèrerais qu'ils ont plutôt des responsabilités communes, c'est à dire que tous les pays, sans exception, devraient agir pour lutter contre le changement climatique.";"Plutôt d'accord";"Tout à fait d'accord";"Tout à fait d'accord";"Tout à fait d'accord";"Tout à fait d'accord";"Tout à fait d'accord";"Non";"Non";"Oui";"Oui";"Non";"Plutôt d'accord";"Plutôt pas d'accord";"Plutôt pas d'accord";"Plutôt d'accord";"Les pays devraient être tenus responsables des émissions de carbone associées à tous les produits qu’ils consomment, y compris les émissions ayant lieu à l’étranger des produits qu’ils consomment";"Les pays devraient être tenus responsables de leurs émissions passées depuis 1990 (année à partir de laquelle il était scientifiquement établi que le changement climatique est réel et causé par les activités humaines)";"3";"1";"Faux";"Vrai";"Vrai";"Vrai";"Plutôt d'accord";"Plutôt pas d'accord";"Plutôt d'accord";"Plutôt pas d'accord";"Tout à fait d'accord";"Pas du tout d'accord";"Plutôt d'accord";"Plutôt pas d'accord";"Plutôt pas d'accord";"Plutôt pas d'accord";"Plutôt pas d'accord";"Plutôt pas d'accord";"Pas du tout d'accord";"Plutôt d'accord";"Plutôt d'accord";"Plutôt d'accord";"Plutôt d'accord";"Plutôt d'accord";"entre 11 et 49%";"Non";"nombre exacte demission";"CAP, BEP ou équivalent";"Autre (sans emploi, homme ou femme au foyer...)";"";"1594837550";"N/A";"495";"514.64";"";"";"4.79";"";"4.61";"5.64";"7.91";"4.99";"33.86";"";"8.74";"8.53";"8.35";"10.3";"6.13";"17.91";"11.03";"";"";"13.18";"15.41";"28.61";"13.57";"18.39";"7.09";"8.23";"";"";"";"54.05";"24.48";"17.23";"19.85";"12.72";"19.23";"14.03";"";"39.4";"19.15";"14.6";"7.85";"12.68";"";"5.72";"10.73";"5.65";"";"";""
"32";"2020-07-15 20:49:12";"42";"fr";"1470629036";"2020-07-15 20:19:18";"2020-07-15 20:49:12";"176.130.250.85";"https://s.cint.com/Survey/Fingerprint/e989b245-387a-4bc6-6267-85a2e65f8cbf";"e989b245-387a-4bc6-6267-85a2e65f8cbf";"";"1594837177";"Une femme";"45-54 ans";"De 20 001 à 35 000 euros";"84";"De 20 000 à 99 999 habitants";"Plusieurs fois par an";"est principalement dû aux activités humaines";"Oui";"Oui";"Non";"Non";"Non";"Oui";"Importants";"Similaires dans les deux régions";"Non";"Non";"Non";"Oui";"Non";"Les principes de justice climatique devraient être déterminés au niveau international, même si cela peut empêcher les pays de défendre les intérêts de leurs populations";"3";"Les pays ont des responsabilités communes mais différenciées. Mais s'il fallait choisir l'un ou l'autre, je considèrerais qu'ils ont plutôt des responsabilités communes, c'est à dire que tous les pays, sans exception, devraient agir pour lutter contre le changement climatique.";"Plutôt d'accord";"Plutôt d'accord";"Plutôt d'accord";"Plutôt pas d'accord";"Plutôt d'accord";"Plutôt pas d'accord";"Oui";"Oui";"Non";"Non";"Non";"Plutôt pas d'accord";"Plutôt d'accord";"Plutôt pas d'accord";"Plutôt pas d'accord";"Les pays devraient être tenus responsables des émissions de carbone associées à tous les produits qu’ils consomment, y compris les émissions ayant lieu à l’étranger des produits qu’ils consomment";"Les pays devraient être tenus responsables uniquement de leurs émissions actuelles";"4";"2";"Faux";"Vrai";"Vrai";"Vrai";"Plutôt pas d'accord";"Plutôt d'accord";"Plutôt pas d'accord";"Plutôt d'accord";"Pas du tout d'accord";"Plutôt d'accord";"Plutôt pas d'accord";"Tout à fait d'accord";"Tout à fait d'accord";"Plutôt d'accord";"Plutôt d'accord";"Tout à fait d'accord";"Pas du tout d'accord";"Plutôt pas d'accord";"Plutôt d'accord";"Plutôt pas d'accord";"Plutôt d'accord";"Plutôt pas d'accord";"entre 1 et 10%";"Je ne sais pas";"";"Diplôme du supérieur court (niveau bac + 2)";"Cadre, enseignant, profession intermédiaire";"";"1594838952";"N/A";"1775";"1810.76";"";"";"19.67";"";"76.15";"8.24";"7.61";"8.45";"40.03";"";"7.18";"7.53";"13.13";"8.98";"9.61";"9.87";"17.79";"";"";"24.62";"63.77";"39.79";"44.68";"43.66";"11.57";"16.23";"";"";"";"144.68";"30.21";"36.5";"18.41";"27.55";"874.72";"27.17";"";"76.88";"37.43";"12.21";"21.67";"";"";"11.31";"8.62";"4.84";"";"";""
"33";"2020-07-15 20:46:12";"42";"fr";"1508337319";"2020-07-15 20:19:34";"2020-07-15 20:46:12";"83.201.145.166";"https://s.cint.com/Survey/Fingerprint/c895fe26-6289-7e00-7f04-c9bee22955e7";"c895fe26-6289-7e00-7f04-c9bee22955e7";"";"1594837302";"Un homme";"55-64 ans";"Moins de 20 000 euros";"06";"Moins de 2 000 habitants";"Plusieurs fois par semaine";"est principalement dû aux activités humaines";"Oui";"Oui";"Non";"Non";"Oui";"Oui";"Importants";"Similaires dans les deux régions";"Non";"Oui";"Oui";"Oui";"Non";"Les principes de justice climatique devraient être déterminés au niveau international, même si cela peut empêcher les pays de défendre les intérêts de leurs populations";"3";"Les pays ont des responsabilités communes mais différenciées. Mais s'il fallait choisir l'un ou l'autre, je considèrerais qu'ils ont plutôt des responsabilités communes, c'est à dire que tous les pays, sans exception, devraient agir pour lutter contre le changement climatique.";"Plutôt d'accord";"Tout à fait d'accord";"Tout à fait d'accord";"Tout à fait d'accord";"Plutôt d'accord";"Tout à fait d'accord";"Non";"Oui";"Non";"Oui";"Non";"Plutôt d'accord";"Tout à fait d'accord";"Plutôt d'accord";"Plutôt d'accord";"Les pays devraient être tenus responsables des émissions de carbone associées à tous les produits qu’ils consomment, y compris les émissions ayant lieu à l’étranger des produits qu’ils consomment";"Les pays doivent être tenus responsables de leurs émissions passées depuis 1850 (année à partir de laquelle les sociétés ont commencé à émettre de grandes quantités de carbone dans l’atmosphère)";"4";"1";"Faux";"Vrai";"Vrai";"Vrai";"Plutôt d'accord";"Plutôt pas d'accord";"Plutôt pas d'accord";"Plutôt d'accord";"Plutôt pas d'accord";"Plutôt d'accord";"Plutôt pas d'accord";"Plutôt d'accord";"Plutôt d'accord";"Plutôt pas d'accord";"Plutôt pas d'accord";"Plutôt d'accord";"Plutôt d'accord";"Pas du tout d'accord";"Plutôt d'accord";"Tout à fait d'accord";"Plutôt d'accord";"Plutôt d'accord";"entre 11 et 49%";"Oui";"";"CAP, BEP ou équivalent";"Ouvrier";"c etait excelent merçis";"1594838772";"N/A";"1470";"1609.35";"";"";"128.06";"";"6.33";"10.02";"7.64";"11.16";"12.05";"";"15.57";"17.36";"30.23";"22.97";"14.53";"33.16";"50.35";"";"";"43.23";"31.16";"209.63";"51.22";"59.12";"36.72";"48.03";"";"";"";"195.53";"28.17";"64.7";"63.09";"42.69";"34.28";"40.58";"";"133.19";"53.53";"21.65";"21.1";"";"";"11.43";"16.4";"44.47";"";"";""
"34";"2020-07-15 20:54:37";"42";"fr";"1400905821";"2020-07-15 20:20:39";"2020-07-15 20:54:37";"109.215.227.60";"https://s.cint.com/Survey/Fingerprint/6eb3745e-ff28-b1a2-587c-4398661ecaa4";"6eb3745e-ff28-b1a2-587c-4398661ecaa4";"";"1594837249";"Un homme";"35-44 ans";"Moins de 20 000 euros";"39";"Moins de 2 000 habitants";"Presque jamais";"est principalement dû à la variabilité climatique naturelle";"Oui";"Non";"Non";"Non";"Non";"Oui";"Négligeables";"Similaires dans les deux régions";"Non";"Non";"Non";"Oui";"Non";"Les principes de justice climatique devraient être déterminés au niveau international, même si cela peut empêcher les pays de défendre les intérêts de leurs populations";"3";"Les pays ont des responsabilités communes mais différenciées. Mais s'il fallait choisir l'un ou l'autre, je considèrerais qu'ils ont plutôt des responsabilités différenciées, c'est à dire que certains pays doivent faire nettement plus d'efforts que d'autres pour lutter contre le changement climatique.";"Plutôt pas d'accord";"Plutôt pas d'accord";"Plutôt d'accord";"Pas du tout d'accord";"Pas du tout d'accord";"Plutôt pas d'accord";"Oui";"Oui";"Non";"Non";"Non";"Plutôt pas d'accord";"Plutôt pas d'accord";"Plutôt pas d'accord";"Plutôt pas d'accord";"Les pays devraient être tenus responsables des émissions de carbone associées à tous les produits qu’ils consomment, y compris les émissions ayant lieu à l’étranger des produits qu’ils consomment";"Les pays devraient être tenus responsables uniquement de leurs émissions actuelles";"4";"2";"Faux";"Vrai";"Faux";"Vrai";"Tout à fait d'accord";"Plutôt d'accord";"Tout à fait d'accord";"Tout à fait d'accord";"Pas du tout d'accord";"Tout à fait d'accord";"Tout à fait d'accord";"Tout à fait d'accord";"Tout à fait d'accord";"Pas du tout d'accord";"Tout à fait d'accord";"Tout à fait d'accord";"Pas du tout d'accord";"Pas du tout d'accord";"Tout à fait d'accord";"Tout à fait d'accord";"Tout à fait d'accord";"Tout à fait d'accord";"entre 1 et 10%";"Non";"la vie économique de chaque individu joue un rôle très important (les classes social ) 
le climats de chaque paye joue un rôle 
les surfaces forestière de chaque paye joue rôle également 
il y a d autre paramètre a prendre en compte pour vraiment savoir a quel niveau il faut faire des efforts

 ";"Aucun diplôme ou certificat d’études primaires";"Ouvrier";"pour commencer diminuer la population humaine a long terme 
équilibrer les revenues par individu dans chaque paye pour que chacun pisse consommer locale et mieux 
";"1594839277";"N/A";"2028";"2051.45";"";"";"10.94";"";"5.24";"7.06";"4.88";"14.15";"7.55";"";"9.67";"20";"23.61";"16.85";"15.1";"26.06";"38.71";"";"";"48.93";"21.07";"90.19";"52.76";"46.62";"26.97";"32.79";"";"";"";"168.12";"19.9";"17.13";"62.91";"43.95";"20.49";"83.83";"";"104.15";"24.77";"17.07";"13.12";"530.12";"";"9.21";"9.37";"408.16";"";"";""
"35";"2020-07-15 20:33:56";"42";"fr";"66331998";"2020-07-15 20:23:26";"2020-07-15 20:33:56";"86.235.223.48";"https://s.cint.com/Survey/Fingerprint/5816160c-5796-da8a-fd2e-213dd2d763f6?sq=1";"5816160c-5796-da8a-fd2e-213dd2d763f6";"";"1594837411";"Un homme";"25-34 ans";"De 35 001 à 50 000 euros";"25";"Moins de 2 000 habitants";"Plusieurs fois par semaine";"est principalement dû aux activités humaines";"Oui";"Oui";"Non";"Non";"Non";"Oui";"Désastreux";"Les Etats-Unis";"Non";"Non";"Oui";"Oui";"Non";"Les principes de justice climatique devraient être déterminés au niveau international, même si cela peut empêcher les pays de défendre les intérêts de leurs populations";"3";"Les pays ont des responsabilités communes mais différenciées. Mais s'il fallait choisir l'un ou l'autre, je considèrerais qu'ils ont plutôt des responsabilités communes, c'est à dire que tous les pays, sans exception, devraient agir pour lutter contre le changement climatique.";"Plutôt pas d'accord";"Pas du tout d'accord";"Plutôt d'accord";"Plutôt pas d'accord";"Pas du tout d'accord";"Pas du tout d'accord";"Non";"Oui";"Oui";"Non";"Non";"Pas du tout d'accord";"Plutôt pas d'accord";"Pas du tout d'accord";"Plutôt pas d'accord";"Les pays devraient être tenus responsables des émissions de carbone associées à tous les produits qu’ils consomment, y compris les émissions ayant lieu à l’étranger des produits qu’ils consomment";"Les pays devraient être tenus responsables uniquement de leurs émissions actuelles";"4";"1";"Faux";"Vrai";"Faux";"Vrai";"Pas du tout d'accord";"Tout à fait d'accord";"Pas du tout d'accord";"Tout à fait d'accord";"Pas du tout d'accord";"Tout à fait d'accord";"Pas du tout d'accord";"Tout à fait d'accord";"Tout à fait d'accord";"Plutôt d'accord";"Tout à fait d'accord";"Tout à fait d'accord";"Pas du tout d'accord";"Plutôt d'accord";"Tout à fait d'accord";"Plutôt pas d'accord";"Tout à fait d'accord";"Plutôt pas d'accord";"plus de 99%";"Oui";"";"Diplôme du supérieur long (supérieur à bac + 2)";"Etudiant";"";"1594838036";"N/A";"625";"645.56";"";"";"5.75";"";"7.66";"5.89";"12.01";"10.32";"4.28";"";"6.38";"10.12";"50.27";"6.87";"8.21";"16.12";"18.22";"";"";"19.06";"14.1";"42.19";"27.47";"42.77";"19.68";"24.73";"";"";"";"94.22";"13.84";"19.54";"16.75";"20.91";"19.24";"13.87";"";"34.08";"32.29";"10";"4.87";"";"";"5.46";"5.6";"2.79";"";"";""
"36";"2020-07-15 20:30:45";"42";"fr";"213935751";"2020-07-15 20:23:29";"2020-07-15 20:30:45";"176.191.96.214";"https://s.cint.com/Survey/Fingerprint/ae7344aa-2a02-974b-9888-735883d21e50?sq=1";"ae7344aa-2a02-974b-9888-735883d21e50";"";"1594837411";"Un homme";"25-34 ans";"De 20 001 à 35 000 euros";"38";"De 20 000 à 99 999 habitants";"Plusieurs fois par mois";"est principalement dû à la variabilité climatique naturelle";"Oui";"Non";"Non";"Non";"Non";"Oui";"Importants";"Les Etats-Unis";"Non";"Non";"Non";"Oui";"Non";"Les principes de justice climatique devraient être déterminés au niveau international, même si cela peut empêcher les pays de défendre les intérêts de leurs populations";"3";"Les pays ont des responsabilités communes mais différenciées. Mais s'il fallait choisir l'un ou l'autre, je considèrerais qu'ils ont plutôt des responsabilités communes, c'est à dire que tous les pays, sans exception, devraient agir pour lutter contre le changement climatique.";"Plutôt d'accord";"Tout à fait d'accord";"Plutôt d'accord";"Plutôt d'accord";"Plutôt d'accord";"Tout à fait d'accord";"Oui";"Non";"Oui";"Non";"Non";"Plutôt pas d'accord";"Tout à fait d'accord";"Plutôt d'accord";"Plutôt pas d'accord";"Les pays devraient être tenus responsables des émissions de carbone associées à tous les produits qu’ils consomment, y compris les émissions ayant lieu à l’étranger des produits qu’ils consomment";"Les pays devraient être tenus responsables de leurs émissions passées depuis 1990 (année à partir de laquelle il était scientifiquement établi que le changement climatique est réel et causé par les activités humaines)";"4";"2";"Faux";"Vrai";"Faux";"Vrai";"Tout à fait d'accord";"Plutôt d'accord";"Plutôt d'accord";"Plutôt d'accord";"Tout à fait d'accord";"Plutôt d'accord";"Tout à fait d'accord";"Tout à fait d'accord";"Plutôt d'accord";"Tout à fait d'accord";"Tout à fait d'accord";"Plutôt d'accord";"Plutôt pas d'accord";"Pas du tout d'accord";"Tout à fait d'accord";"Plutôt d'accord";"Plutôt d'accord";"Tout à fait d'accord";"entre 1 et 10%";"Non";"Le nombre de chomeur";"Diplôme du supérieur court (niveau bac + 2)";"Chef d'entreprise (10 employés ou plus)";"";"1594837845";"N/A";"434";"450.67";"";"";"2.61";"";"4.61";"9.2";"7.49";"13.07";"5.33";"";"8.31";"21.93";"13.94";"13.7";"10.58";"13.6";"22.12";"";"";"40.17";"15.21";"26.14";"6.19";"8.08";"4.15";"5.71";"";"";"";"82.55";"9.67";"4.73";"9.21";"6.96";"6.76";"7.43";"";"14.3";"5.74";"11.43";"7.63";"15.38";"";"7.29";"6.12";"3.33";"";"";""
"37";"2020-07-15 20:32:28";"42";"fr";"949714660";"2020-07-15 20:24:29";"2020-07-15 20:32:28";"87.89.136.30";"https://s.cint.com/Survey/Fingerprint/ae3712e9-94b6-b02d-dccb-251ce8e95c13";"ae3712e9-94b6-b02d-dccb-251ce8e95c13";"";"1594837473";"Un homme";"25-34 ans";"De 20 001 à 35 000 euros";"69";"100 000 habitants et plus";"Plusieurs fois par mois";"est principalement dû aux activités humaines";"Oui";"Oui";"Non";"Non";"Oui";"Oui";"Désastreux";"Similaires dans les deux régions";"Non";"Non";"Non";"Oui";"Non";"Les principes de justice climatique devraient être déterminés au niveau international, même si cela peut empêcher les pays de défendre les intérêts de leurs populations";"4";"Les pays ont des responsabilités communes mais différenciées. Mais s'il fallait choisir l'un ou l'autre, je considèrerais qu'ils ont plutôt des responsabilités communes, c'est à dire que tous les pays, sans exception, devraient agir pour lutter contre le changement climatique.";"Tout à fait d'accord";"Plutôt d'accord";"Plutôt d'accord";"Plutôt d'accord";"Plutôt d'accord";"Plutôt d'accord";"Non";"Oui";"Oui";"Non";"Non";"Plutôt d'accord";"Plutôt d'accord";"Plutôt d'accord";"Plutôt d'accord";"Les pays devraient être tenus responsables des émissions de carbone associées à tous les produits qu’ils consomment, y compris les émissions ayant lieu à l’étranger des produits qu’ils consomment";"Les pays devraient être tenus responsables de leurs émissions passées depuis 1990 (année à partir de laquelle il était scientifiquement établi que le changement climatique est réel et causé par les activités humaines)";"3";"2";"Faux";"Vrai";"Faux";"Vrai";"Plutôt pas d'accord";"Plutôt d'accord";"Plutôt pas d'accord";"Plutôt d'accord";"Plutôt d'accord";"Plutôt pas d'accord";"Plutôt pas d'accord";"Plutôt d'accord";"Plutôt d'accord";"Plutôt pas d'accord";"Plutôt pas d'accord";"Plutôt d'accord";"Plutôt pas d'accord";"Plutôt pas d'accord";"Plutôt d'accord";"Plutôt pas d'accord";"Tout à fait d'accord";"Plutôt pas d'accord";"entre 11 et 49%";"Non";"";"Diplôme du supérieur long (supérieur à bac + 2)";"Cadre, enseignant, profession intermédiaire";"";"1594837948";"N/A";"475";"497.21";"";"";"4.65";"";"4.57";"5.77";"9.94";"10.67";"10.62";"";"8";"8.78";"19.54";"12.22";"7.87";"14.87";"29.13";"";"";"21.84";"8.54";"18.7";"49.93";"11.9";"11.5";"4.9";"";"";"";"72.91";"9.73";"24.3";"17.68";"11.54";"15.07";"14.94";"";"11.69";"7.17";"9.01";"5.15";"2.98";"";"7.88";"10.45";"2.77";"";"";""
"42";"2020-07-15 20:52:11";"42";"fr";"1835129622";"2020-07-15 20:34:09";"2020-07-15 20:52:11";"90.40.58.58";"https://s.cint.com/";"60c65f7b-05f2-dfae-2c59-68ed454132a9";"";"1594838057";"Un homme";"Plus de 65 ans";"De 50 001 à 75 000 euros";"75";"J'habite en agglomération parisienne";"Plusieurs fois par an";"est principalement dû à la variabilité climatique naturelle";"Oui";"Non";"Non";"Non";"Non";"Non";"Importants";"Similaires dans les deux régions";"Non";"Non";"Oui";"Non";"Non";"Les principes de justice climatique devraient être déterminés au niveau international, même si cela peut empêcher les pays de défendre les intérêts de leurs populations";"3";"Les pays ont des responsabilités communes mais différenciées. Mais s'il fallait choisir l'un ou l'autre, je considèrerais qu'ils ont plutôt des responsabilités différenciées, c'est à dire que certains pays doivent faire nettement plus d'efforts que d'autres pour lutter contre le changement climatique.";"Pas du tout d'accord";"Tout à fait d'accord";"Tout à fait d'accord";"Tout à fait d'accord";"Plutôt pas d'accord";"Plutôt d'accord";"Non";"Oui";"Oui";"Non";"Non";"Plutôt pas d'accord";"Plutôt d'accord";"Plutôt d'accord";"Tout à fait d'accord";"Les pays devraient être tenus responsables des émissions de carbone associées à tous les produits qu’ils consomment, y compris les émissions ayant lieu à l’étranger des produits qu’ils consomment";"Les pays devraient être tenus responsables uniquement de leurs émissions actuelles";"4";"1";"Faux";"Vrai";"Vrai";"Vrai";"Plutôt pas d'accord";"Tout à fait d'accord";"Plutôt d'accord";"Plutôt d'accord";"Pas du tout d'accord";"Tout à fait d'accord";"Pas du tout d'accord";"Plutôt d'accord";"Tout à fait d'accord";"Plutôt pas d'accord";"Tout à fait d'accord";"Plutôt d'accord";"Pas du tout d'accord";"Plutôt d'accord";"Plutôt d'accord";"Plutôt pas d'accord";"Plutôt d'accord";"Plutôt pas d'accord";"entre 11 et 49%";"Non";"LA POSITION GEOGRAPHIQUE DES DIVERS CONTINENTS";"Baccalauréat, brevet professionnel ou équivalent";"Retraité";"AUCUN SONDAGE TRES INTERESSANT ET INSTRUCTIF";"1594839131";"N/A";"1074";"1098.86";"";"";"8.73";"";"6.31";"7.09";"6.33";"37.89";"9.83";"";"12.29";"16.18";"15.6";"15.43";"12.64";"28.85";"17.05";"";"";"28.28";"16.35";"64.71";"74.34";"58.34";"20.17";"26.72";"";"";"";"103.53";"27.78";"42.6";"25";"43.56";"44.22";"67.94";"";"73.52";"32.68";"29.34";"11.16";"56.65";"";"7.77";"7.23";"42.75";"";"";""
"44";"2020-07-15 21:04:32";"42";"fr";"715449633";"2020-07-15 20:37:01";"2020-07-15 21:04:32";"176.188.94.215";"https://s.cint.com/Survey/Fingerprint/40b85eab-1a85-3da3-5089-69937a1cd251";"40b85eab-1a85-3da3-5089-69937a1cd251";"";"1594838225";"Une femme";"25-34 ans";"De 20 001 à 35 000 euros";"83";"100 000 habitants et plus";"Plusieurs fois par mois";"est principalement dû aux activités humaines";"Oui";"Oui";"Non";"Non";"Non";"Non";"Désastreux";"Similaires dans les deux régions";"Non";"Non";"Oui";"Oui";"Non";"Les principes de justice climatique devraient être déterminés au niveau international, même si cela peut empêcher les pays de défendre les intérêts de leurs populations";"3";"Les pays ont des responsabilités communes mais différenciées. Mais s'il fallait choisir l'un ou l'autre, je considèrerais qu'ils ont plutôt des responsabilités communes, c'est à dire que tous les pays, sans exception, devraient agir pour lutter contre le changement climatique.";"Pas du tout d'accord";"Pas du tout d'accord";"Plutôt d'accord";"Plutôt d'accord";"Pas du tout d'accord";"Plutôt d'accord";"Non";"Oui";"Oui";"Non";"Non";"Pas du tout d'accord";"Pas du tout d'accord";"Plutôt pas d'accord";"Pas du tout d'accord";"Les pays devraient être tenus responsables des émissions de carbone associées à tous les produits qu’ils consomment, y compris les émissions ayant lieu à l’étranger des produits qu’ils consomment";"Les pays devraient être tenus responsables de leurs émissions passées depuis 1990 (année à partir de laquelle il était scientifiquement établi que le changement climatique est réel et causé par les activités humaines)";"4";"2";"Faux";"Vrai";"Vrai";"Vrai";"Pas du tout d'accord";"Tout à fait d'accord";"Pas du tout d'accord";"Tout à fait d'accord";"Pas du tout d'accord";"Plutôt d'accord";"Plutôt d'accord";"Plutôt pas d'accord";"Tout à fait d'accord";"Pas du tout d'accord";"Tout à fait d'accord";"Pas du tout d'accord";"Pas du tout d'accord";"Tout à fait d'accord";"Plutôt pas d'accord";"Pas du tout d'accord";"Plutôt d'accord";"Pas du tout d'accord";"entre 50 et 90%";"Non";"Avoir un peu plus de chiffre (pourcentage%) serait plus simple pour voir les choses";"Diplôme du supérieur long (supérieur à bac + 2)";"Ouvrier";"Questionnaires très intéressant Qui j’espere Permettra de lutter contre le changement climatique ";"1594839872";"N/A";"1647";"1666.94";"";"";"3.65";"";"4.84";"3.99";"8.88";"21.78";"28.75";"";"20.72";"11.45";"32.75";"29.64";"19.18";"31.71";"56.29";"";"";"29.68";"30.51";"89.04";"42.92";"108.21";"16.85";"23.14";"";"";"";"258.31";"40.1";"58.62";"59.36";"136.19";"44.09";"50.44";"";"80.57";"95.86";"11.26";"19.11";"66.15";"";"9.52";"15.93";"107.45";"";"";""
