"id";"submitdate";"lastpage";"startlanguage";"seed";"startdate";"datestamp";"ipaddr";"refurl";"ID";"Messageintro";"TimeB";"Gender";"Age";"Income";"State";"Agglo";"Freqtalk";"CauseCC";"GazCC[SQ001]";"GazCC[SQ002]";"GazCC[SQ003]";"GazCC[SQ004]";"GazCC[SQ006]";"GazCC[SQ005]";"EffectsCC";"RegionCC";"GenerationCC[SQ001]";"GenerationCC[SQ002]";"GenerationCC[SQ003]";"GenerationCC[SQ004]";"GenerationCC[SQ005]";"VisioncoopCC";"Orderpcp";"CBDR";"Gdfr";"Principles[SQ001]";"Principles[SQ002]";"Principles[SQ003]";"Principles[SQ004]";"Principles[SQ005]";"RkPrinciple[SQ001]";"RkPrinciple[SQ002]";"RkPrinciple[SQ003]";"RkPrinciple[SQ004]";"RkPrinciple[SQ005]";"Statements[SQ001]";"Statements[SQ002]";"Statements[SQ003]";"Statements[SQ004]";"Accountability";"History";"Ordrecas";"Randomnumber";"Test[SQ001]";"Test[SQ002]";"Test[SQ003]";"Test[SQ004]";"Case1[SQ001]";"Case1[SQ002]";"Case2[SQ001]";"Case2[SQ002]";"Case3[SQ001]";"Case3[SQ002]";"Case4[SQ001]";"Case4[SQ002]";"Case5[SQ001]";"Case5[SQ002]";"Case6[SQ001]";"Case6[SQ002]";"Coordination[SQ001]";"Coordination[SQ002]";"Coordination[SQ003]";"Coordination[SQ004]";"Reward[SQ001]";"Reward[SQ002]";"Chances";"Chances[other]";"Info";"Infono";"Educ";"CSP";"Comments";"TimeE";"Speedster";"Surveytime";"interviewtime";"groupTime7";"IDTime";"MessageintroTime";"TimeBTime";"GenderTime";"AgeTime";"IncomeTime";"StateTime";"AggloTime";"groupTime3";"FreqtalkTime";"CauseCCTime";"GazCCTime";"EffectsCCTime";"RegionCCTime";"GenerationCCTime";"VisioncoopCCTime";"groupTime4";"OrderpcpTime";"CBDRTime";"GdfrTime";"PrinciplesTime";"RkPrincipleTime";"StatementsTime";"AccountabilityTime";"HistoryTime";"groupTime5";"OrdrecasTime";"RandomnumberTime";"TestTime";"Case1Time";"Case2Time";"Case3Time";"Case4Time";"Case5Time";"Case6Time";"groupTime6";"CoordinationTime";"RewardTime";"ChancesTime";"InfoTime";"InfonoTime";"groupTime11";"EducTime";"CSPTime";"CommentsTime";"TimeETime";"SpeedsterTime";"SurveytimeTime"
"13";"2020-07-15 20:29:09";"42";"en";"653177972";"2020-07-15 20:15:34";"2020-07-15 20:29:09";"24.167.77.21";"https://s.cint.com/Survey/Fingerprint/3f1dd616-a3f0-508f-f734-e1361a7312ec";"3f1dd616-a3f0-508f-f734-e1361a7312ec";"";"1594836938";"A man";"18-24";"$40,000 to $74,999";"Texas - TX";"In an urban area of a big city";"Several times a month";"is mainly due to human activity";"Yes";"Yes";"No";"No";"Yes";"No";"Disastrous";"The USA";"No";"No";"No";"Yes";"No";"Principles of climate justice should be settled at the international level, even if that may prevent countries from pursuing the interest of their own people";"3";"Countries share common but differentiated responsibilities. However, if I had to choose, I would consider that countries mostly hold common responsibilities, which means that all countries, without exception, should act to limit climate change.";"I strongly disagree";"I rather disagree";"I strongly agree";"I strongly agree";"I rather agree";"I rather agree";"Yes";"No";"No";"No";"Yes";"I rather agree";"I rather disagree";"I rather agree";"I rather agree";"Countries should be held accountable for the carbon emissions of all the products they consume, including the emissions of imported products that occur abroad";"Countries should be held for their historical emissions since 1850, when humans started emitting large quantities of carbon in the atmosphere";"4";"2";"False";"True";"False";"True";"I rather agree";"I strongly agree";"I strongly disagree";"I strongly agree";"I strongly disagree";"I strongly disagree";"I strongly disagree";"I strongly agree";"I rather agree";"I rather disagree";"I strongly agree";"I strongly agree";"I partially agree";"I partially disagree";"I partially agree";"I strongly agree";"I partially agree";"I strongly agree";"50 to 90%";"";"No";"exact population numbers";"Associate degree or higher";"Student";"";"1594837749";"N/A";"811";"831.02";"";"";"4.6";"";"5.18";"5.26";"7.11";"6.09";"8.5";"";"7.47";"6.81";"21.39";"8.62";"10.05";"15.64";"73.19";"";"";"23.75";"18.96";"48.47";"42.59";"35.47";"9.46";"14.62";"";"";"";"50.55";"19.67";"13.59";"22.21";"10.75";"19.07";"176.41";"";"74.24";"9.65";"14.53";"13.42";"15.2";"";"6.54";"5.59";"6.37";"";"";""
"14";"2020-07-15 20:35:27";"42";"en";"1985739744";"2020-07-15 20:17:36";"2020-07-15 20:35:27";"76.103.3.200";"https://s.cint.com/Survey/Fingerprint/69ca6302-6351-e4af-2020-54e1b4f5d4f8";"69ca6302-6351-e4af-2020-54e1b4f5d4f8";"";"1594837073";"A man";"65+";"More than $75,000";"California - CA";"In a suburban area on the outskirts of a big city, or in a medium-sized city";"Several times a week";"is mainly due to human activity";"No";"Yes";"No";"Yes";"No";"Yes";"Disastrous";"Similar consequences in both regions";"Yes";"Yes";"Yes";"No";"No";"Principles of climate justice should be settled at the international level, even if that may prevent countries from pursuing the interest of their own people";"3";"Countries share common but differentiated responsibilities. However, if I had to choose, I would consider that countries mostly hold common responsibilities, which means that all countries, without exception, should act to limit climate change.";"I strongly disagree";"I strongly disagree";"I strongly agree";"I strongly agree";"I strongly disagree";"I strongly disagree";"No";"Yes";"Yes";"No";"No";"I strongly disagree";"I strongly disagree";"I strongly disagree";"I strongly disagree";"Countries should be held accountable for the carbon emissions of all the products they consume, including the emissions of imported products that occur abroad";"Countries should only be held accountable for their current emissions";"4";"1";"False";"True";"True";"False";"I rather agree";"I rather agree";"I rather disagree";"I rather agree";"I rather disagree";"I rather agree";"I rather disagree";"I rather agree";"I rather agree";"I rather agree";"I rather disagree";"I rather agree";"I partially disagree";"I partially agree";"I partially agree";"I partially disagree";"I partially agree";"I partially agree";"1 to 10%";"";"Yes";"";"Bachelor degree or higher";"Retired";"";"1594838127";"N/A";"1054";"1088.65";"";"";"17.37";"";"5.61";"8.38";"9.72";"8.38";"9.7";"";"11";"9.33";"19.83";"11.68";"9.85";"34.18";"25.23";"";"";"24.1";"22.61";"76.61";"66.45";"52.87";"19.16";"23.83";"";"";"";"164.98";"31.47";"36.64";"36.67";"60.41";"29.7";"50.17";"";"95.24";"66.8";"16.72";"10.1";"";"";"7.93";"12.98";"2.95";"";"";""
"16";"2020-07-15 20:34:57";"42";"en";"1838211131";"2020-07-15 20:18:45";"2020-07-15 20:34:57";"24.113.89.191";"https://s.cint.com/Survey/Fingerprint/65c2205e-82f1-c422-297c-17e9ebe9b68d";"65c2205e-82f1-c422-297c-17e9ebe9b68d";"";"1594837137";"A man";"65+";"$20,000 to $39,999";"Washington - WA";"In a rural area or a small town";"Several times a month";"is mainly due to natural climate variability";"Yes";"No";"No";"No";"No";"No";"Significant";"Similar consequences in both regions";"No";"No";"Yes";"No";"No";"Principles of climate justice should never prevail over countries’ own national interests, even if it may impede the fight against climate change";"3";"None of the above";"I rather agree";"I rather agree";"I rather disagree";"I rather agree";"I rather disagree";"I rather disagree";"No";"Yes";"Yes";"No";"No";"I rather disagree";"I rather disagree";"I rather disagree";"I rather disagree";"Countries should only be held accountable for the carbon emissions that occur on their territories";"Countries should only be held accountable for their current emissions";"4";"1";"False";"True";"True";"True";"I rather agree";"I rather agree";"I rather agree";"I rather disagree";"I rather disagree";"I rather agree";"I rather agree";"I rather agree";"I rather agree";"I rather agree";"I rather agree";"I rather agree";"I strongly disagree";"I strongly disagree";"I partially disagree";"I strongly agree";"I partially agree";"I partially agree";"50 to 90%";"";"I do not know";"";"Associate degree or higher";"Retired";"I believe that the SUN and the earths tilt are the major cause's of climate change.";"1594838097";"N/A";"960";"987.36";"";"";"12.68";"";"11.76";"10.15";"6.44";"11.78";"7.37";"";"11.79";"12.87";"23.4";"13.11";"8.61";"20.97";"37.31";"";"";"45.82";"23.33";"91.89";"50.53";"44.54";"16.46";"21.37";"";"";"";"116.17";"23.86";"36.45";"32.38";"27.63";"40.98";"14.03";"";"55.4";"37.72";"13.37";"11";"";"";"7.34";"11.2";"77.65";"";"";""
"18";"2020-07-15 20:34:39";"42";"en";"1385083853";"2020-07-15 20:21:41";"2020-07-15 20:34:39";"72.49.196.66";"https://s.cint.com/Survey/Fingerprint/512c57f1-752e-0bf4-c7d3-6007d04e4222?sq=1";"512c57f1-752e-0bf4-c7d3-6007d04e4222";"";"1594837308";"A man";"45-54";"$40,000 to $74,999";"Ohio - OH";"In a suburban area on the outskirts of a big city, or in a medium-sized city";"Several times a year";"is mainly due to human activity";"Yes";"Yes";"No";"No";"No";"Yes";"Disastrous";"Similar consequences in both regions";"No";"Yes";"Yes";"Yes";"No";"Principles of climate justice should be settled at the international level, even if that may prevent countries from pursuing the interest of their own people";"4";"Countries share common but differentiated responsibilities. However, if I had to choose, I would consider that countries mostly hold differentiated responsibilities, which means that some should make more efforts than others to combat climate change.";"I rather disagree";"I rather agree";"I rather agree";"I strongly agree";"I strongly agree";"I strongly agree";"Yes";"No";"No";"Yes";"No";"I rather disagree";"I rather disagree";"I rather agree";"I strongly agree";"Countries should be held accountable for the carbon emissions of all the products they consume, including the emissions of imported products that occur abroad";"Countries should be held accountable for their historical emissions since 1990, when it was scientifically established that climate change was real and caused by human activities";"3";"2";"False";"True";"True";"True";"I rather disagree";"I strongly agree";"I rather disagree";"I strongly agree";"I rather agree";"I strongly agree";"I strongly disagree";"I strongly agree";"I rather disagree";"I strongly agree";"I rather disagree";"I strongly agree";"I strongly disagree";"I partially disagree";"I strongly agree";"I strongly agree";"I strongly agree";"I strongly agree";"50 to 90%";"";"Yes";"";"Bachelor degree or higher";"Employee (office, service, sales and clerical occupation)";"";"1594838079";"N/A";"771";"793.84";"";"";"7.11";"";"3.44";"4.7";"4.64";"5.33";"3.36";"";"6.86";"7.05";"18.77";"7.67";"7.23";"13.67";"16.83";"";"";"22.74";"7.7";"55.05";"45.21";"35.25";"12.92";"21.87";"";"";"";"80.42";"29.06";"104.29";"22.46";"9.23";"50.52";"17.68";"";"46.52";"19.55";"10.14";"29.28";"";"";"58.9";"6.13";"2.26";"";"";""
"20";"2020-07-15 20:52:20";"42";"en";"299009937";"2020-07-15 20:23:08";"2020-07-15 20:52:20";"67.162.157.233";"https://s.cint.com/Survey/Fingerprint/dfad48ac-ede4-64f0-468e-7f8631ccd97f";"dfad48ac-ede4-64f0-468e-7f8631ccd97f";"";"1594837392";"A man";"45-54";"$40,000 to $74,999";"Colorado - CO";"In an urban area of a big city";"Several times a week";"is mainly due to natural climate variability";"Yes";"No";"No";"Yes";"Yes";"No";"Insignificant";"The USA";"No";"No";"Yes";"Yes";"No";"Principles of climate justice should never prevail over countries’ own national interests, even if it may impede the fight against climate change";"3";"Countries share common but differentiated responsibilities. However, if I had to choose, I would consider that countries mostly hold differentiated responsibilities, which means that some should make more efforts than others to combat climate change.";"I rather disagree";"I strongly disagree";"I rather disagree";"I strongly agree";"I rather agree";"I rather disagree";"No";"Yes";"No";"No";"Yes";"I rather agree";"I rather disagree";"I strongly agree";"I strongly disagree";"Countries should be held accountable for the carbon emissions of all the products they consume, including the emissions of imported products that occur abroad";"Countries should be held accountable for their historical emissions since 1990, when it was scientifically established that climate change was real and caused by human activities";"4";"1";"False";"True";"False";"True";"I rather disagree";"I strongly disagree";"I rather disagree";"I strongly disagree";"I rather disagree";"I rather agree";"I strongly agree";"I rather agree";"I rather disagree";"I rather agree";"I strongly agree";"I rather agree";"I strongly disagree";"I partially disagree";"I partially disagree";"I partially agree";"I strongly agree";"I partially agree";"11 to 49%";"";"Yes";"";"Bachelor degree or higher";"Lower grade professional, administrative and managerial occupation, intermediate or teaching occupation";"two";"1594839140";"N/A";"1748";"1770.35";"";"";"4.85";"";"4.95";"1565.81";"5.19";"5.69";"5.56";"";"6.84";"4.82";"9.62";"4.5";"4.19";"6.39";"4.79";"";"";"4.37";"4.37";"9.78";"6.51";"7.31";"4.2";"3.53";"";"";"";"9.29";"5.49";"6.99";"5.8";"5.69";"6.07";"5.72";"";"9.8";"6.81";"6.58";"4.46";"";"";"6.41";"11.65";"6.32";"";"";""
"21";"2020-07-15 20:36:39";"42";"en";"71351401";"2020-07-15 20:24:34";"2020-07-15 20:36:39";"216.164.120.152";"https://s.cint.com/Survey/Fingerprint/838fe855-072e-6ca4-6577-dfa43aabb29f?sq=1";"838fe855-072e-6ca4-6577-dfa43aabb29f";"";"1594837479";"A woman";"55-64";"Less than $20,000";"Pennsylvania - PA";"In a rural area or a small town";"Several times a month";"is mainly due to human activity";"Yes";"Yes";"No";"No";"No";"No";"Disastrous";"Similar consequences in both regions";"No";"No";"Yes";"No";"No";"Principles of climate justice should be settled at the international level, even if that may prevent countries from pursuing the interest of their own people";"4";"Countries share common but differentiated responsibilities. However, if I had to choose, I would consider that countries mostly hold common responsibilities, which means that all countries, without exception, should act to limit climate change.";"I strongly disagree";"I rather agree";"I strongly agree";"I strongly agree";"I rather disagree";"I rather disagree";"No";"Yes";"Yes";"No";"No";"I rather agree";"I rather disagree";"I rather agree";"I rather disagree";"Countries should be held accountable for the carbon emissions of all the products they consume, including the emissions of imported products that occur abroad";"Countries should be held accountable for their historical emissions since 1990, when it was scientifically established that climate change was real and caused by human activities";"3";"2";"False";"True";"True";"True";"I rather disagree";"I strongly agree";"I strongly disagree";"I strongly agree";"I rather disagree";"I strongly agree";"I rather disagree";"I rather agree";"I strongly agree";"I rather disagree";"I strongly agree";"I strongly disagree";"I strongly disagree";"I partially agree";"I strongly agree";"I partially agree";"I strongly agree";"I partially disagree";"less than 1%";"";"Yes";"";"High school completion or higher";"Other (not employed)";"this was an informative survey, I enjoyed it ";"1594838199";"N/A";"720";"739.28";"";"";"5.44";"";"4.01";"3.68";"3.81";"6.67";"3.69";"";"7.75";"6.91";"32.6";"8.97";"6.73";"12.01";"14.3";"";"";"27.27";"11.17";"41.55";"35.58";"44.47";"14.03";"15.29";"";"";"";"97.97";"17.37";"35.24";"26.18";"25.1";"30.19";"18.96";"";"71.1";"53.27";"6.54";"5.54";"";"";"4.54";"7.74";"33.61";"";"";""
"22";"2020-07-15 20:42:32";"42";"en";"1889830137";"2020-07-15 20:25:17";"2020-07-15 20:42:32";"71.208.212.120";"https://s.cint.com/Survey/Fingerprint/0d272b0d-7346-c947-cc2f-1c0ccb5846de";"0d272b0d-7346-c947-cc2f-1c0ccb5846de";"";"1594837524";"A man";"65+";"More than $75,000";"Florida - FL";"In a suburban area on the outskirts of a big city, or in a medium-sized city";"Several times a year";"is mainly due to human activity";"No";"No";"No";"No";"No";"Yes";"Disastrous";"Similar consequences in both regions";"No";"No";"Yes";"Yes";"No";"Principles of climate justice should be settled at the international level, even if that may prevent countries from pursuing the interest of their own people";"3";"Countries share common but differentiated responsibilities. However, if I had to choose, I would consider that countries mostly hold common responsibilities, which means that all countries, without exception, should act to limit climate change.";"I strongly disagree";"I rather disagree";"I rather agree";"I rather agree";"I rather disagree";"I strongly disagree";"No";"Yes";"Yes";"No";"No";"I rather disagree";"I rather disagree";"I rather disagree";"I rather disagree";"Countries should be held accountable for the carbon emissions of all the products they consume, including the emissions of imported products that occur abroad";"Countries should be held for their historical emissions since 1850, when humans started emitting large quantities of carbon in the atmosphere";"4";"1";"False";"True";"False";"True";"I strongly disagree";"I strongly agree";"I rather disagree";"I rather agree";"I rather disagree";"I rather agree";"I strongly disagree";"I strongly agree";"I rather agree";"I strongly disagree";"I rather disagree";"I strongly agree";"I strongly disagree";"I strongly disagree";"I partially agree";"I partially agree";"I strongly agree";"I partially agree";"50 to 90%";"";"Yes";"";"Master degree or higher";"Retired";"How well did I coordinate with the European respondent?  This survey should provide some closure on this topic.";"1594838552";"N/A";"1028";"1048.5";"";"";"7.02";"";"3.79";"7.23";"5.32";"6.25";"13.96";"";"9.42";"7.18";"13.3";"15.34";"14.14";"16.46";"21.01";"";"";"22.34";"18.52";"69.67";"22.59";"41.76";"17.44";"34.69";"";"";"";"93.52";"36.05";"50.48";"61.86";"30.46";"59.27";"59.2";"";"78.68";"118.5";"21.17";"9.45";"";"";"7.51";"6.34";"48.58";"";"";""
"23";"2020-07-15 20:44:37";"42";"en";"697738421";"2020-07-15 20:26:51";"2020-07-15 20:44:37";"174.59.70.103";"https://s.cint.com/Survey/Fingerprint/1fead5e3-a96c-ca21-01c1-e2c1514da130";"1fead5e3-a96c-ca21-01c1-e2c1514da130";"";"1594837617";"A man";"65+";"More than $75,000";"Pennsylvania - PA";"In a suburban area on the outskirts of a big city, or in a medium-sized city";"Several times a month";"is mainly due to natural climate variability";"Yes";"Yes";"No";"Yes";"No";"Yes";"Small";"Similar consequences in both regions";"No";"No";"No";"No";"Yes";"Principles of climate justice should never prevail over countries’ own national interests, even if it may impede the fight against climate change";"4";"Countries share common but differentiated responsibilities. However, if I had to choose, I would consider that countries mostly hold differentiated responsibilities, which means that some should make more efforts than others to combat climate change.";"I rather disagree";"I rather agree";"I rather agree";"I rather agree";"I rather agree";"I rather agree";"Yes";"Yes";"No";"No";"No";"I rather agree";"I rather disagree";"I rather agree";"I rather agree";"Countries should only be held accountable for the carbon emissions that occur on their territories";"Countries should only be held accountable for their current emissions";"3";"2";"False";"False";"True";"True";"I rather disagree";"I strongly agree";"I rather agree";"I strongly agree";"I rather agree";"I rather agree";"I rather disagree";"I rather agree";"I rather disagree";"I strongly agree";"I rather agree";"I rather agree";"I strongly disagree";"I partially agree";"I strongly agree";"I partially agree";"I partially agree";"I partially agree";"11 to 49%";"";"I do not know";"";"Master degree or higher";"Retired";"You are making assumptions that are not provable facts.";"1594838677";"N/A";"1060";"1083.02";"";"";"6.26";"";"6.57";"5.95";"8.55";"7.89";"10.94";"";"18.32";"8.24";"34.3";"8.83";"9.22";"9.49";"18.91";"";"";"32.81";"11.88";"81.71";"51.42";"50.77";"25.27";"30.4";"";"";"";"121.43";"102.2";"37.18";"58.52";"40.49";"35.17";"37.44";"";"75.01";"73.64";"12.76";"8.13";"";"";"5.53";"8.09";"29.7";"";"";""
"24";"2020-07-15 20:36:41";"42";"en";"181667977";"2020-07-15 20:28:24";"2020-07-15 20:36:41";"69.170.194.74";"https://s.cint.com/Survey/Fingerprint/00e9ace6-aa0d-a31b-02c4-9bc28d0da235";"00e9ace6-aa0d-a31b-02c4-9bc28d0da235";"";"1594837711";"A man";"35-44";"More than $75,000";"Colorado - CO";"In a suburban area on the outskirts of a big city, or in a medium-sized city";"Several times a month";"is mainly due to human activity";"Yes";"Yes";"No";"No";"No";"Yes";"Disastrous";"Similar consequences in both regions";"Yes";"Yes";"Yes";"No";"No";"Principles of climate justice should be settled at the international level, even if that may prevent countries from pursuing the interest of their own people";"3";"Countries share common but differentiated responsibilities. However, if I had to choose, I would consider that countries mostly hold common responsibilities, which means that all countries, without exception, should act to limit climate change.";"I rather disagree";"I rather disagree";"I strongly agree";"I strongly agree";"I rather disagree";"I rather disagree";"Yes";"No";"No";"Yes";"No";"I rather disagree";"I rather disagree";"I rather disagree";"I rather disagree";"Countries should only be held accountable for the carbon emissions that occur on their territories";"Countries should only be held accountable for their current emissions";"4";"2";"False";"True";"False";"True";"I rather agree";"I rather agree";"I rather disagree";"I rather agree";"I rather disagree";"I rather agree";"I rather disagree";"I rather agree";"I rather disagree";"I rather agree";"I rather disagree";"I rather agree";"I partially disagree";"I partially disagree";"I partially agree";"I partially agree";"I partially agree";"I partially agree";"11 to 49%";"";"Yes";"";"Bachelor degree or higher";"Higher grade professional, administrative and managerial occupation (engineer, doctor, consultant, lawyer etc)";"none";"1594838201";"N/A";"490";"511.69";"";"";"7.48";"";"4.41";"4.42";"5.22";"5.82";"8.28";"";"10.1";"8.96";"22.64";"13.12";"6.35";"23.28";"16.22";"";"";"16.94";"16.26";"42.53";"20.21";"24.95";"5.06";"8.82";"";"";"";"81.74";"17.21";"31.34";"5.31";"7.83";"10.1";"10.06";"";"26.73";"6.5";"11.18";"7.08";"";"";"5.21";"12.75";"7.58";"";"";""
"25";"2020-07-15 20:39:39";"42";"en";"1027209183";"2020-07-15 20:29:01";"2020-07-15 20:39:39";"98.191.68.179";"https://s.cint.com/Survey/Fingerprint/7f2581a8-3a45-6dc5-ce8a-b60e426d8a53?sq=1";"7f2581a8-3a45-6dc5-ce8a-b60e426d8a53";"";"1594837749";"A woman";"35-44";"$40,000 to $74,999";"Louisiana - LA";"In a rural area or a small town";"Almost never";"is mainly due to natural climate variability";"Yes";"No";"No";"No";"Yes";"No";"Small";"Similar consequences in both regions";"No";"No";"Yes";"Yes";"No";"Principles of climate justice should be settled at the international level, even if that may prevent countries from pursuing the interest of their own people";"3";"None of the above";"I rather agree";"I rather agree";"I strongly agree";"I strongly agree";"I rather disagree";"I rather agree";"No";"Yes";"Yes";"No";"No";"I rather disagree";"I rather disagree";"I rather disagree";"I rather agree";"Countries should be held accountable for the carbon emissions of all the products they consume, including the emissions of imported products that occur abroad";"Countries should be held for their historical emissions since 1850, when humans started emitting large quantities of carbon in the atmosphere";"4";"1";"False";"True";"True";"True";"I rather disagree";"I rather agree";"I rather agree";"I rather agree";"I rather agree";"I rather agree";"I rather disagree";"I rather agree";"I rather agree";"I rather agree";"I rather disagree";"I strongly agree";"I strongly disagree";"I partially disagree";"I strongly agree";"I strongly agree";"I strongly agree";"I strongly agree";"50 to 90%";"";"Yes";"";"Bachelor degree or higher";"Lower grade professional, administrative and managerial occupation, intermediate or teaching occupation";"";"1594838379";"N/A";"630";"655.22";"";"";"8.69";"";"4.87";"6.19";"4.32";"5.36";"6.3";"";"7.3";"7.93";"10.43";"8.94";"7.69";"30.45";"13.36";"";"";"16.07";"21.23";"29.47";"17.28";"33.95";"27.59";"10.61";"";"";"";"67.82";"41.14";"15.72";"9.55";"13.78";"12.55";"21.41";"";"28.88";"137.01";"8.8";"7.33";"";"";"3.45";"7.2";"2.55";"";"";""
